Date,Open,High,Low,Close,Adj Close,Volume
2014-01-15,147.137848,150.165375,147.137848,150.165375,116.568771,1799
2014-01-16,149.257126,149.257126,149.257126,149.257126,115.863693,1517
2014-01-17,148.651611,148.651611,145.624084,145.624084,113.043465,6148
2014-01-20,145.926834,146.532349,145.926834,146.229599,113.513535,693
2014-01-21,147.743362,147.743362,144.110321,144.110321,111.868355,1944
2014-01-22,144.413071,145.018585,144.413071,145.018585,112.573479,8557
2014-01-23,143.202057,143.202057,140.174530,140.174530,108.813148,5210
2014-01-24,139.871780,140.174530,135.936005,135.936005,105.522934,3473
2014-01-27,134.422241,138.055267,134.119476,138.055267,107.168022,3583
2014-01-28,138.358017,138.963531,136.844254,138.660767,107.638062,2488
2014-01-29,140.477295,140.477295,137.147003,137.147003,106.462997,1575
2014-01-30,137.147003,138.660767,137.147003,138.660767,107.638062,2570
2014-01-31,140.477295,140.477295,137.449768,138.055267,107.168022,1050
2014-02-03,137.147003,138.055267,137.147003,138.055267,107.168022,5627
2014-02-04,138.055267,138.055267,138.055267,138.055267,107.168022,0
2014-02-05,133.211227,133.816727,132.302963,133.816727,103.877785,2902
2014-02-06,134.724991,136.238754,134.422241,136.238754,105.757935,2199
2014-02-07,138.055267,139.266281,135.633240,136.541504,105.992958,712
2014-02-10,135.936005,137.449768,135.936005,136.844254,106.227951,2296
2014-02-11,137.449768,137.449768,136.541504,136.541504,105.992958,480
2014-02-12,137.449768,139.266281,137.449768,138.963531,107.873116,3124
2014-02-13,136.844254,137.449768,136.238754,136.238754,105.757935,294
2014-02-14,138.660767,138.660767,136.541504,137.752518,106.933044,574
2014-02-17,137.449768,137.449768,137.147003,137.147003,106.462997,33
2014-02-18,136.844254,139.871780,136.844254,139.266281,108.108116,3494
2014-02-19,135.027740,135.027740,135.027740,135.027740,104.817863,825
2014-02-20,136.238754,136.541504,135.633240,135.633240,106.678391,3854
2014-02-21,135.633240,135.633240,135.633240,135.633240,106.678391,3319
2014-02-24,133.513977,135.936005,133.513977,135.936005,106.916534,1473
2014-02-25,136.844254,136.844254,135.330490,136.238754,107.154633,1168
2014-02-26,138.358017,138.358017,136.844254,136.844254,107.630852,1967
2014-02-27,136.844254,136.844254,136.844254,136.844254,107.630852,0
2014-02-28,135.633240,136.238754,135.633240,136.238754,107.154633,3641
2014-03-03,133.816727,134.119476,133.816727,133.816727,105.249634,7350
2014-03-04,135.633240,136.844254,135.633240,136.844254,107.630852,1070
2014-03-05,136.844254,139.569031,136.844254,138.055267,108.583344,2048
2014-03-06,137.752518,139.569031,137.752518,139.569031,109.773979,2661
2014-03-07,140.780045,140.780045,140.477295,140.780045,110.726425,3180
2014-03-10,137.449768,138.055267,136.238754,136.238754,107.154633,2042
2014-03-11,136.238754,136.238754,136.238754,136.238754,107.154633,0
2014-03-12,136.238754,136.238754,135.936005,135.936005,106.916534,1460
2014-03-13,136.844254,137.752518,135.936005,135.936005,106.916534,1725
2014-03-14,131.697464,132.908463,131.697464,132.908463,104.535278,1068
2014-03-17,133.211227,134.724991,133.211227,134.119476,105.487747,2444
2014-03-18,133.816727,135.027740,133.513977,134.724991,105.964012,264
2014-03-19,135.633240,135.633240,135.027740,135.027740,106.202148,3164
2014-03-20,134.119476,135.330490,134.119476,134.119476,105.487747,470
2014-03-21,135.330490,136.844254,135.330490,135.936005,106.916534,2975
2014-03-24,137.147003,137.147003,135.633240,135.633240,106.678391,925
2014-03-25,136.238754,136.238754,136.238754,136.238754,107.154633,132
2014-03-26,138.055267,138.055267,138.055267,138.055267,108.583344,2196
2014-03-27,137.449768,137.752518,137.449768,137.449768,108.107109,209
2014-03-28,138.660767,139.569031,138.358017,139.569031,109.773979,1797
2014-03-31,139.871780,139.871780,138.358017,138.358017,108.821472,1226
2014-04-01,138.055267,138.660767,138.055267,138.660767,109.059578,339
2014-04-02,138.055267,138.963531,138.055267,138.660767,109.059578,1655
2014-04-03,140.780045,140.780045,140.477295,140.477295,110.488335,1656
2014-04-04,141.688293,142.293808,141.688293,142.293808,111.917068,3177
2014-04-07,139.569031,139.569031,139.569031,139.569031,109.773979,3109
2014-04-08,138.963531,138.963531,137.752518,137.752518,108.345261,181
2014-04-09,140.477295,140.477295,140.477295,140.477295,110.488335,1899
2014-04-10,137.147003,138.660767,137.147003,138.358017,108.821472,1578
2014-04-11,137.449768,137.449768,135.330490,136.238754,107.154633,1876
2014-04-14,136.238754,136.238754,136.238754,136.238754,107.154633,20
2014-04-15,137.449768,137.449768,137.449768,137.449768,108.107109,1919
2014-04-16,137.752518,140.477295,137.752518,140.477295,110.488335,4873
2014-04-17,137.752518,142.293808,137.752518,142.293808,111.917068,3579
2014-04-22,142.899307,142.899307,142.596558,142.596558,112.155174,2290
2014-04-23,144.413071,144.413071,141.385544,141.991058,111.678932,640
2014-04-24,140.780045,141.385544,140.477295,141.385544,111.202682,7372
2014-04-25,141.385544,142.596558,140.780045,141.991058,111.678932,1805
2014-04-28,139.569031,142.293808,139.569031,141.991058,111.678932,381
2014-04-29,142.899307,142.899307,142.596558,142.596558,112.155174,148
2014-04-30,144.413071,144.413071,142.596558,142.596558,112.155174,67
2014-05-02,142.293808,143.504822,141.991058,143.504822,112.869522,2265
2014-05-05,141.385544,141.385544,141.082794,141.082794,110.964569,198
2014-05-06,142.293808,142.293808,138.963531,138.963531,109.297737,843
2014-05-07,138.963531,140.174530,138.963531,139.871780,110.012062,743
2014-05-08,142.293808,142.293808,139.871780,140.780045,110.726425,2956
2014-05-09,143.202057,143.202057,141.082794,141.385544,111.202682,990
